job_id,job_title,salary_avg,skill
32,Data Scientist,38500.0,Deep learning
33,Senior Data Scientist,123000.0,Data mining
33,Senior Data Scientist,123000.0,R
33,Senior Data Scientist,123000.0,Machine learning
33,Senior Data Scientist,123000.0,GitHub
33,Senior Data Scientist,123000.0,Agile
34,Data Scientist,60500.0,Statistical software
34,Data Scientist,60500.0,Power BI
34,Data Scientist,60500.0,R
34,Data Scientist,60500.0,Tableau
34,Data Scientist,60500.0,SQL
35,Commercial Data Analyst - Internship,55500.0,Relational databases
35,Commercial Data Analyst - Internship,55500.0,R
35,Commercial Data Analyst - Internship,55500.0,SQL
35,Commercial Data Analyst - Internship,55500.0,Statistical analysis
35,Commercial Data Analyst - Internship,55500.0,C
36,Data Scientist,33500.0,Go
36,Data Scientist,33500.0,Java
36,Data Scientist,33500.0,Machine learning
36,Data Scientist,33500.0,Python
36,Data Scientist,33500.0,Hadoop
37,Senior Data Scientist - Financial Crime,34000.0,SQL
37,Senior Data Scientist - Financial Crime,34000.0,Data science
37,Senior Data Scientist - Financial Crime,34000.0,Communication skills
37,Senior Data Scientist - Financial Crime,34000.0,Python
38,"Senior Data Scientist, Payments",33500.0,SQL
38,"Senior Data Scientist, Payments",33500.0,Machine learning
38,"Senior Data Scientist, Payments",33500.0,Data science
38,"Senior Data Scientist, Payments",33500.0,Python
39,Data Scientist,50000.0,Microsoft Powerpoint
39,Data Scientist,50000.0,Power BI
39,Data Scientist,50000.0,Microsoft Excel
39,Data Scientist,50000.0,Tableau
39,Data Scientist,50000.0,SQL
40,Senior Data Scientist,33000.0,Java
40,Senior Data Scientist,33000.0,SQL
40,Senior Data Scientist,33000.0,Analysis skills
40,Senior Data Scientist,33000.0,Machine learning
40,Senior Data Scientist,33000.0,Python
41,DATA SCIENTIST,39500.0,Power BI
41,DATA SCIENTIST,39500.0,Tableau
41,DATA SCIENTIST,39500.0,SQL
41,DATA SCIENTIST,39500.0,Hootsuite
41,DATA SCIENTIST,39500.0,Contracts
42,Data Science Machine Learning Internship (Summer 2025),58500.0,Business intelligence
42,Data Science Machine Learning Internship (Summer 2025),58500.0,Tableau
42,Data Science Machine Learning Internship (Summer 2025),58500.0,SQL
42,Data Science Machine Learning Internship (Summer 2025),58500.0,Machine learning
42,Data Science Machine Learning Internship (Summer 2025),58500.0,IT
43,Data Analyst,70000.0,R
43,Data Analyst,70000.0,Git
43,Data Analyst,70000.0,SQL
43,Data Analyst,70000.0,Machine learning
43,Data Analyst,70000.0,Python
44,"Senior Data Scientist, Learning",110000.0,Power BI
44,"Senior Data Scientist, Learning",110000.0,Oracle
44,"Senior Data Scientist, Learning",110000.0,R
44,"Senior Data Scientist, Learning",110000.0,Microsoft SQL Server
44,"Senior Data Scientist, Learning",110000.0,Tableau
45,Data Scientist,31000.0,Power BI
45,Data Scientist,31000.0,Azure
45,Data Scientist,31000.0,Selenium
45,Data Scientist,31000.0,Git
45,Data Scientist,31000.0,Google Cloud Platform
46,Data Scientist,44500.0,TensorFlow
46,Data Scientist,44500.0,Power BI
46,Data Scientist,44500.0,Azure
46,Data Scientist,44500.0,Kubernetes
46,Data Scientist,44500.0,Tableau
47,Data Scientist,56500.0,Salesforce Marketing Cloud
47,Data Scientist,56500.0,Tableau
47,Data Scientist,56500.0,SQL
47,Data Scientist,56500.0,Analysis skills
47,Data Scientist,56500.0,Martech
48,Tokenomics Data Analyst/Scientist,47500.0,Machine learning
48,Tokenomics Data Analyst/Scientist,47500.0,Data science
49,Data Scientist/Engineer,65000.0,SQL
49,Data Scientist/Engineer,65000.0,APIs
49,Data Scientist/Engineer,65000.0,Regression analysis
49,Data Scientist/Engineer,65000.0,Python
50,Senior Data Scientist,56000.0,Power BI
50,Senior Data Scientist,56000.0,Business analysis
50,Senior Data Scientist,56000.0,Data analysis skills
50,Senior Data Scientist,56000.0,Tableau
50,Senior Data Scientist,56000.0,SQL
51,Data Scientist / AI Consultant,40000.0,Statistics
51,Data Scientist / AI Consultant,40000.0,Big data
51,Data Scientist / AI Consultant,40000.0,Spark
51,Data Scientist / AI Consultant,40000.0,R
51,Data Scientist / AI Consultant,40000.0,NoSQL
52,Data Scientist,31000.0,Microsoft Powerpoint
52,Data Scientist,31000.0,Power BI
52,Data Scientist,31000.0,Microsoft Excel
52,Data Scientist,31000.0,Tableau
52,Data Scientist,31000.0,SQL
53,Data Scientist,52500.0,R
53,Data Scientist,52500.0,Data analysis skills
53,Data Scientist,52500.0,SQL
53,Data Scientist,52500.0,Regression analysis
53,Data Scientist,52500.0,Python
54,DATA SCIENTIST,67500.0,SAS
54,DATA SCIENTIST,67500.0,Analysis skills
54,DATA SCIENTIST,67500.0,Presentation skills
54,DATA SCIENTIST,67500.0,Machine learning
54,DATA SCIENTIST,67500.0,Data science
55,Data Scientist,35500.0,Data modelling
55,Data Scientist,35500.0,Data mining
55,Data Scientist,35500.0,R
55,Data Scientist,35500.0,SQL
55,Data Scientist,35500.0,Machine learning
56,Marketing Data Scientist,74500.0,French
56,Marketing Data Scientist,74500.0,Spark
56,Marketing Data Scientist,74500.0,Swedish
56,Marketing Data Scientist,74500.0,REST
